accuracy,loss,val_accuracy,val_loss,learning_rate
0.2742857038974762,1.6598355770111084,0.37837839126586914,1.461181879043579,9.999999747378752e-05
0.5257142782211304,1.347151279449463,0.4864864945411682,1.2175244092941284,9.999999747378752e-05
0.6571428775787354,1.0474884510040283,0.7567567825317383,0.9030054211616516,9.999999747378752e-05
0.7542856931686401,0.7631702423095703,0.7567567825317383,0.6721675992012024,9.999999747378752e-05
0.8057143092155457,0.5488874316215515,0.7297297120094299,0.6427573561668396,9.999999747378752e-05
0.868571400642395,0.3882269263267517,0.8648648858070374,0.43116509914398193,9.999999747378752e-05
0.9428571462631226,0.27599477767944336,0.8648648858070374,0.32155656814575195,9.999999747378752e-05
0.9657142758369446,0.18862827122211456,0.8918918967247009,0.29565316438674927,9.999999747378752e-05
0.9828571677207947,0.1246221587061882,0.9459459185600281,0.24624033272266388,9.999999747378752e-05
0.9885714054107666,0.08858763426542282,0.9459459185600281,0.24664320051670074,9.999999747378752e-05
0.9942857027053833,0.056557171046733856,0.9459459185600281,0.20638538897037506,9.999999747378752e-05
0.9885714054107666,0.0487244576215744,0.9459459185600281,0.14788107573986053,9.999999747378752e-05
1.0,0.039214007556438446,0.9459459185600281,0.17856210470199585,9.999999747378752e-05
0.9885714054107666,0.05874072015285492,0.9189189076423645,0.5145896673202515,9.999999747378752e-05
0.977142870426178,0.0707923099398613,0.9459459185600281,0.14331527054309845,9.999999747378752e-05
0.9828571677207947,0.057355478405952454,0.8918918967247009,0.22285249829292297,9.999999747378752e-05
0.977142870426178,0.08138495683670044,0.8918918967247009,0.4413081109523773,9.999999747378752e-05
0.9942857027053833,0.04535992071032524,0.9459459185600281,0.1653280109167099,9.999999747378752e-05
1.0,0.01854938082396984,0.9459459185600281,0.17748335003852844,4.999999873689376e-05
1.0,0.008305157534778118,0.9459459185600281,0.18551325798034668,4.999999873689376e-05
1.0,0.0060579413548111916,0.9459459185600281,0.17671017348766327,4.999999873689376e-05
