accuracy,loss,val_accuracy,val_loss,learning_rate
0.34857141971588135,1.9091593027114868,0.29729729890823364,1.537230134010315,0.0010000000474974513
0.5028571486473083,1.2409114837646484,0.45945945382118225,1.106505274772644,0.0010000000474974513
0.7714285850524902,0.7393071055412292,0.8918918967247009,0.47850531339645386,0.0010000000474974513
0.9314285516738892,0.22889183461666107,0.9729729890823364,0.1940888911485672,0.0010000000474974513
0.9885714054107666,0.05051378533244133,0.9459459185600281,0.2252836972475052,0.0010000000474974513
0.9942857027053833,0.04465579241514206,0.9459459185600281,0.18861281871795654,0.0010000000474974513
1.0,0.01698136515915394,0.9459459185600281,0.21039196848869324,0.0010000000474974513
1.0,0.005215903744101524,0.9459459185600281,0.33364298939704895,0.0010000000474974513
1.0,0.0018684586975723505,0.9459459185600281,0.3176024854183197,0.0010000000474974513
1.0,0.0004328662471380085,0.9459459185600281,0.31453612446784973,0.0005000000237487257
1.0,0.00039550516521558166,0.9459459185600281,0.32597509026527405,0.0005000000237487257
1.0,0.00031037325970828533,0.9459459185600281,0.3387523293495178,0.0005000000237487257
