accuracy,loss,val_accuracy,val_loss,learning_rate
0.20571428537368774,1.8526086807250977,0.4864864945411682,1.6349753141403198,0.0010000000474974513
0.4399999976158142,1.4902558326721191,0.5945945978164673,1.122223973274231,0.0010000000474974513
0.6628571152687073,0.9205650091171265,0.7837837934494019,0.7622529864311218,0.0010000000474974513
0.8399999737739563,0.54325270652771,0.8648648858070374,0.3841060698032379,0.0010000000474974513
0.9428571462631226,0.24312792718410492,0.9189189076423645,0.31989336013793945,0.0010000000474974513
0.954285740852356,0.10611774027347565,0.8648648858070374,0.22021208703517914,0.0010000000474974513
0.977142870426178,0.07427497953176498,0.9459459185600281,0.4173123836517334,0.0010000000474974513
0.9885714054107666,0.046825360506772995,0.8918918967247009,0.21186405420303345,0.0010000000474974513
1.0,0.011984176933765411,0.9459459185600281,0.32374703884124756,0.0010000000474974513
1.0,0.008591998368501663,0.9459459185600281,0.3892272114753723,0.0010000000474974513
1.0,0.004070784896612167,0.9459459185600281,0.20916874706745148,0.0010000000474974513
1.0,0.003576946910470724,0.9459459185600281,0.27320557832717896,0.0010000000474974513
1.0,0.0007322800811380148,0.9459459185600281,0.38381505012512207,0.0010000000474974513
1.0,0.00041485042311251163,0.9459459185600281,0.44096672534942627,0.0010000000474974513
1.0,0.00040943766362033784,0.9459459185600281,0.44832780957221985,0.0005000000237487257
1.0,0.0003579134645406157,0.9459459185600281,0.43298277258872986,0.0005000000237487257
1.0,0.00027262693038210273,0.9459459185600281,0.41001641750335693,0.0005000000237487257
