accuracy,loss,val_accuracy,val_loss,learning_rate
0.2514285743236542,2.1145880222320557,0.4324324429035187,1.3774890899658203,0.0010000000474974513
0.5771428346633911,1.2092783451080322,0.8108108043670654,0.7560899257659912,0.0010000000474974513
0.8399999737739563,0.4974386692047119,0.8648648858070374,0.46540677547454834,0.0010000000474974513
0.9200000166893005,0.19620764255523682,0.9459459185600281,0.1390409767627716,0.0010000000474974513
0.9828571677207947,0.06183047220110893,0.9729729890823364,0.10961246490478516,0.0010000000474974513
1.0,0.026513511314988136,0.9459459185600281,0.13989543914794922,0.0010000000474974513
1.0,0.0077882916666567326,0.9459459185600281,0.1230066567659378,0.0010000000474974513
1.0,0.0040169707499444485,0.9459459185600281,0.11563967168331146,0.0010000000474974513
1.0,0.0017379694618284702,0.9459459185600281,0.11543581634759903,0.0010000000474974513
1.0,0.0011867061257362366,0.9459459185600281,0.11674048751592636,0.0005000000237487257
1.0,0.0010159449884667993,0.9459459185600281,0.1159573495388031,0.0005000000237487257
1.0,0.0008580090943723917,0.9459459185600281,0.11631278693675995,0.0005000000237487257
1.0,0.0007763170287944376,0.9459459185600281,0.11663281172513962,0.0005000000237487257
